user_id,age,nationality,Occupation,favorite_type,rating,place_id,place_name,place_type,city,Climate,Operating_Hours
1,26,Australia,Chef,Nature,3,15,Alexandria Library,Museum,Alexandria,Hot,7:00-15:00
1,26,Australia,Chef,Nature,3,25,Mary’s Tree,Archaeological Site,Cairo,Mild,10:00-20:00
1,26,Australia,Chef,Nature,3,16,Montaza Palace,Historic,Alexandria,Windy,7:00-15:00
1,26,Australia,Chef,Nature,3,1,Giza Pyramids,Monument,Giza,Mild,24 Hours
1,26,Australia,Chef,Nature,3,88,Giza Plateau,Archaeological Site,Giza,Hot,10:00-20:00
1,26,Australia,Chef,Nature,3,82,Nile Stelae,Monument,,Humid,24 Hours
1,26,Australia,Chef,Nature,3,2,Egyptian Museum,Museum,Cairo,Sunny,10:00-20:00
1,26,Australia,Chef,Nature,3,79,Al Kab,Archaeological Site,Aswan,Mild,8:00-17:00
1,26,Australia,Chef,Nature,3,105,Mosque of Sulayman Pasha al-Khadim “Saraya al-Jabal mosque”,Monument,,Dry,8:00-17:00
1,26,Australia,Chef,Nature,3,52,Al-Saliba Street,Archaeological Site,Cairo,Sunny,7:00-15:00
2,62,Spain,Writer,Beach,3,73,Ayn Shams City,Archaeological Site,Cairo,Sunny,6:00-22:00
2,62,Spain,Writer,Beach,3,68,Tell Basta,Archaeological Site,Al-Sharkia,Dry,10:00-20:00
2,62,Spain,Writer,Beach,3,89,Manial Palace Museum,Museum,Cairo,Sunny,09:00 AM - 05:00 PM
2,62,Spain,Writer,Beach,2,106,Elephantine,Archaeological Site,Aswan,Sunny,8:00-17:00
2,62,Spain,Writer,Beach,3,46,Abu Qir Bay,Sunken Monuments,,Rainy,6:00-22:00
2,62,Spain,Writer,Beach,2,60,Citadel Prison,Monument,,Rainy,24 Hours
2,62,Spain,Writer,Beach,3,50,El Sheikh Hamad (Athribis),Archaeological Site,Sohag,Sunny,7:00-15:00
2,62,Spain,Writer,Beach,5,19,Hurghada Marina,Beach,Hurghada,Rainy,24 Hours
2,62,Spain,Writer,Beach,4,91,El Hawawish,Archaeological Site,Sohag,Mild,24 Hours
2,62,Spain,Writer,Beach,3,26,Deir al-Bahari,Archaeological Site,Luxor,Mild,7:00-15:00
3,51,Germany,Software Developer,Desert,3,51,Kafr El-Sheikh Museum,Museum,Kafr El-Sheikh,Humid,09:00 AM - 05:00 PM
3,51,Germany,Software Developer,Desert,3,47,Saint Catherine’s Monastery,Archaeological Site,South Sinai,Mild,24 Hours
3,51,Germany,Software Developer,Desert,3,88,Giza Plateau,Archaeological Site,Giza,Hot,10:00-20:00
3,51,Germany,Software Developer,Desert,3,64,Mamoura Bay,Sunken Monuments,,Mild,24 Hours
3,51,Germany,Software Developer,Desert,4,14,Abu Simbel Temples,Monument,Aswan,Hot,6:00-22:00
3,51,Germany,Software Developer,Desert,4,21,Helwan Corner Museum,Museum,Cairo,Humid,09:00 AM - 05:00 PM
3,51,Germany,Software Developer,Desert,3,89,Manial Palace Museum,Museum,Cairo,Sunny,09:00 AM - 05:00 PM
3,51,Germany,Software Developer,Desert,3,65,Qaitbay Fort site,Sunken Monuments,,Humid,8:00-17:00
3,51,Germany,Software Developer,Desert,3,72,Alexandria,Archaeological Site,Alexandria,Humid,7:00-15:00
3,51,Germany,Software Developer,Desert,3,44,Imhotep Museum,Museum,Giza,Humid,08:00 AM - 05:00 PM
4,58,Russia,Nurse,Beach,3,71,Cairo Citadel,Archaeological Site,Cairo,Windy,6:00-22:00
4,58,Russia,Nurse,Beach,3,88,Giza Plateau,Archaeological Site,Giza,Hot,10:00-20:00
4,58,Russia,Nurse,Beach,4,63,Al-Bahnasa Tombs,Archaeological Site,Al-Minya,Mild,8:00-17:00
4,58,Russia,Nurse,Beach,3,49,Aswan,Archaeological Site,Aswan,Sunny,7:00-15:00
4,58,Russia,Nurse,Beach,4,82,Nile Stelae,Monument,,Humid,24 Hours
4,58,Russia,Nurse,Beach,3,79,Al Kab,Archaeological Site,Aswan,Mild,8:00-17:00
4,58,Russia,Nurse,Beach,3,10,Valley of the Kings,Historic,Luxor,Rainy,10:00-20:00
4,58,Russia,Nurse,Beach,3,43,Heliopolis,Archaeological Site,Cairo,Windy,8:00-17:00
4,58,Russia,Nurse,Beach,3,45,Graeco-Roman Museum,Museum,Alexandria,Hot,09:00 AM - 05:00 PM
4,58,Russia,Nurse,Beach,4,73,Ayn Shams City,Archaeological Site,Cairo,Sunny,6:00-22:00
