user_id,place_id,rating,age,nationality,Occupation,favorite_type,place_name,place_type,city,Climate,Operating_Hours
1,10,3,32,KSA,Designer,Religious,Valley of the Kings,Historic,Luxor,Rainy,10:00-20:00
1,1,4,32,KSA,Designer,Religious,Giza Pyramids,Monument,Giza,Mild,24 Hours
1,14,3,32,KSA,Designer,Religious,Abu Simbel Temples,Monument,Aswan,Hot,6:00-22:00
1,4,5,32,KSA,Designer,Religious,Saint Catherine's Monastery,Religious,South Sinai,Rainy,7:00-15:00
1,6,3,32,KSA,Designer,Religious,Karnak Temple,Monument,Luxor,Sunny,7:00-15:00
1,11,5,32,KSA,Designer,Religious,Coptic Cairo,Religious,Cairo,Windy,24 Hours
1,12,3,32,KSA,Designer,Religious,Al-Azhar Park,Nature,Cairo,Sunny,10:00-20:00
1,5,3,32,KSA,Designer,Religious,Dahab,Beach,South Sinai,Cool,9:00-18:00
1,2,4,32,KSA,Designer,Religious,Egyptian Museum,Museum,Cairo,Sunny,10:00-20:00
1,16,3,32,KSA,Designer,Religious,Montaza Palace,Historic,Alexandria,Windy,7:00-15:00
2,8,3,50,Japan,Software Developer,Monument,Aswan Philae Temple,Historic,Aswan,Cool,24 Hours
2,13,3,50,Japan,Software Developer,Monument,Khan El Khalili,Market,Cairo,Hot,8:00-17:00
2,14,5,50,Japan,Software Developer,Monument,Abu Simbel Temples,Monument,Aswan,Hot,6:00-22:00
2,6,5,50,Japan,Software Developer,Monument,Karnak Temple,Monument,Luxor,Sunny,7:00-15:00
2,12,3,50,Japan,Software Developer,Monument,Al-Azhar Park,Nature,Cairo,Sunny,10:00-20:00
2,9,3,50,Japan,Software Developer,Monument,El Alamein Military Museum,Museum,El Alamein,Hot,6:00-22:00
2,16,3,50,Japan,Software Developer,Monument,Montaza Palace,Historic,Alexandria,Windy,7:00-15:00
2,19,3,50,Japan,Software Developer,Monument,Hurghada Marina,Beach,Hurghada,Rainy,24 Hours
2,11,3,50,Japan,Software Developer,Monument,Coptic Cairo,Religious,Cairo,Windy,24 Hours
2,17,3,50,Japan,Software Developer,Monument,Fayoum Waterwheels,Nature,Fayoum,Hot,24 Hours
3,6,3,57,Australia,Scientist,Historic,Karnak Temple,Monument,Luxor,Sunny,7:00-15:00
3,17,4,57,Australia,Scientist,Historic,Fayoum Waterwheels,Nature,Fayoum,Hot,24 Hours
3,8,5,57,Australia,Scientist,Historic,Aswan Philae Temple,Historic,Aswan,Cool,24 Hours
3,1,3,57,Australia,Scientist,Historic,Giza Pyramids,Monument,Giza,Mild,24 Hours
3,7,3,57,Australia,Scientist,Historic,Siwa Oasis,Desert,Siwa,Hot,7:00-15:00
3,9,3,57,Australia,Scientist,Historic,El Alamein Military Museum,Museum,El Alamein,Hot,6:00-22:00
3,14,4,57,Australia,Scientist,Historic,Abu Simbel Temples,Monument,Aswan,Hot,6:00-22:00
3,15,2,57,Australia,Scientist,Historic,Alexandria Library,Museum,Alexandria,Hot,7:00-15:00
3,4,3,57,Australia,Scientist,Historic,Saint Catherine's Monastery,Religious,South Sinai,Rainy,7:00-15:00
3,16,5,57,Australia,Scientist,Historic,Montaza Palace,Historic,Alexandria,Windy,7:00-15:00
4,14,3,65,Brazil,Musician,Museum,Abu Simbel Temples,Monument,Aswan,Hot,6:00-22:00
4,2,5,65,Brazil,Musician,Museum,Egyptian Museum,Museum,Cairo,Sunny,10:00-20:00
4,16,3,65,Brazil,Musician,Museum,Montaza Palace,Historic,Alexandria,Windy,7:00-15:00
4,12,3,65,Brazil,Musician,Museum,Al-Azhar Park,Nature,Cairo,Sunny,10:00-20:00
4,7,3,65,Brazil,Musician,Museum,Siwa Oasis,Desert,Siwa,Hot,7:00-15:00
4,9,4,65,Brazil,Musician,Museum,El Alamein Military Museum,Museum,El Alamein,Hot,6:00-22:00
4,18,3,65,Brazil,Musician,Museum,Wadi El Rayan,Nature,Fayoum,Windy,7:00-15:00
4,8,3,65,Brazil,Musician,Museum,Aswan Philae Temple,Historic,Aswan,Cool,24 Hours
4,6,3,65,Brazil,Musician,Museum,Karnak Temple,Monument,Luxor,Sunny,7:00-15:00
4,20,3,65,Brazil,Musician,Museum,El Gouna,Beach,Hurghada,Windy,10:00-20:00
5,3,3,69,Brazil,Doctor,Beach,Ras Mohamed National Park,Nature,Sharm El Sheikh,Sunny,7:00-15:00
5,20,5,69,Brazil,Doctor,Beach,El Gouna,Beach,Hurghada,Windy,10:00-20:00
5,1,3,69,Brazil,Doctor,Beach,Giza Pyramids,Monument,Giza,Mild,24 Hours
5,15,2,69,Brazil,Doctor,Beach,Alexandria Library,Museum,Alexandria,Hot,7:00-15:00
5,18,3,69,Brazil,Doctor,Beach,Wadi El Rayan,Nature,Fayoum,Windy,7:00-15:00
5,13,3,69,Brazil,Doctor,Beach,Khan El Khalili,Market,Cairo,Hot,8:00-17:00
5,17,3,69,Brazil,Doctor,Beach,Fayoum Waterwheels,Nature,Fayoum,Hot,24 Hours
5,5,5,69,Brazil,Doctor,Beach,Dahab,Beach,South Sinai,Cool,9:00-18:00
5,4,3,69,Brazil,Doctor,Beach,Saint Catherine's Monastery,Religious,South Sinai,Rainy,7:00-15:00
5,14,3,69,Brazil,Doctor,Beach,Abu Simbel Temples,Monument,Aswan,Hot,6:00-22:00
6,1,3,38,Spain,Nurse,Desert,Giza Pyramids,Monument,Giza,Mild,24 Hours
6,10,3,38,Spain,Nurse,Desert,Valley of the Kings,Historic,Luxor,Rainy,10:00-20:00
6,13,3,38,Spain,Nurse,Desert,Khan El Khalili,Market,Cairo,Hot,8:00-17:00
6,11,3,38,Spain,Nurse,Desert,Coptic Cairo,Religious,Cairo,Windy,24 Hours
6,14,3,38,Spain,Nurse,Desert,Abu Simbel Temples,Monument,Aswan,Hot,6:00-22:00
6,18,2,38,Spain,Nurse,Desert,Wadi El Rayan,Nature,Fayoum,Windy,7:00-15:00
6,4,2,38,Spain,Nurse,Desert,Saint Catherine's Monastery,Religious,South Sinai,Rainy,7:00-15:00
6,5,3,38,Spain,Nurse,Desert,Dahab,Beach,South Sinai,Cool,9:00-18:00
6,2,3,38,Spain,Nurse,Desert,Egyptian Museum,Museum,Cairo,Sunny,10:00-20:00
6,15,3,38,Spain,Nurse,Desert,Alexandria Library,Museum,Alexandria,Hot,7:00-15:00
7,17,3,63,Brazil,Writer,Historic,Fayoum Waterwheels,Nature,Fayoum,Hot,24 Hours
7,15,2,63,Brazil,Writer,Historic,Alexandria Library,Museum,Alexandria,Hot,7:00-15:00
7,8,5,63,Brazil,Writer,Historic,Aswan Philae Temple,Historic,Aswan,Cool,24 Hours
7,20,4,63,Brazil,Writer,Historic,El Gouna,Beach,Hurghada,Windy,10:00-20:00
7,1,3,63,Brazil,Writer,Historic,Giza Pyramids,Monument,Giza,Mild,24 Hours
7,7,3,63,Brazil,Writer,Historic,Siwa Oasis,Desert,Siwa,Hot,7:00-15:00
7,11,3,63,Brazil,Writer,Historic,Coptic Cairo,Religious,Cairo,Windy,24 Hours
7,10,5,63,Brazil,Writer,Historic,Valley of the Kings,Historic,Luxor,Rainy,10:00-20:00
7,6,4,63,Brazil,Writer,Historic,Karnak Temple,Monument,Luxor,Sunny,7:00-15:00
