user_id,place_id,rating,age,nationality,Occupation,favorite_type,place_name,place_type,city,Climate,Operating_Hours
1,15,3,26,Australia,Chef,Nature,Alexandria Library,Museum,Alexandria,Hot,7:00-15:00
1,25,3,26,Australia,Chef,Nature,Mary’s Tree,Archaeological Site,Cairo,Mild,10:00-20:00
1,16,3,26,Australia,Chef,Nature,Montaza Palace,Historic,Alexandria,Windy,7:00-15:00
1,1,3,26,Australia,Chef,Nature,Giza Pyramids,Monument,Giza,Mild,24 Hours
1,88,3,26,Australia,Chef,Nature,Giza Plateau,Archaeological Site,Giza,Hot,10:00-20:00
1,82,3,26,Australia,Chef,Nature,Nile Stelae,Monument,Egypt,Humid,24 Hours
1,2,3,26,Australia,Chef,Nature,Egyptian Museum,Museum,Cairo,Sunny,10:00-20:00
1,79,3,26,Australia,Chef,Nature,Al Kab,Archaeological Site,Aswan,Mild,8:00-17:00
1,105,3,26,Australia,Chef,Nature,Mosque of Sulayman Pasha al-Khadim “Saraya al-Jabal mosque”,Monument,Egypt,Dry,8:00-17:00
1,52,3,26,Australia,Chef,Nature,Al-Saliba Street,Archaeological Site,Cairo,Sunny,7:00-15:00
2,73,3,62,Spain,Writer,Beach,Ayn Shams City,Archaeological Site,Cairo,Sunny,6:00-22:00
2,68,3,62,Spain,Writer,Beach,Tell Basta,Archaeological Site,Al-Sharkia,Dry,10:00-20:00
2,89,3,62,Spain,Writer,Beach,Manial Palace Museum,Museum,Cairo,Sunny,09:00 AM - 05:00 PM
2,106,2,62,Spain,Writer,Beach,Elephantine,Archaeological Site,Aswan,Sunny,8:00-17:00
2,46,3,62,Spain,Writer,Beach,Abu Qir Bay,Sunken Monuments,Egypt,Rainy,6:00-22:00
2,60,2,62,Spain,Writer,Beach,Citadel Prison,Monument,Egypt,Rainy,24 Hours
2,50,3,62,Spain,Writer,Beach,El Sheikh Hamad (Athribis),Archaeological Site,Sohag,Sunny,7:00-15:00
2,19,5,62,Spain,Writer,Beach,Hurghada Marina,Beach,Hurghada,Rainy,24 Hours
2,91,4,62,Spain,Writer,Beach,El Hawawish,Archaeological Site,Sohag,Mild,24 Hours
2,26,3,62,Spain,Writer,Beach,Deir al-Bahari,Archaeological Site,Luxor,Mild,7:00-15:00
3,51,3,51,Germany,Software Developer,Desert,Kafr El-Sheikh Museum,Museum,Kafr El-Sheikh,Humid,09:00 AM - 05:00 PM
3,47,3,51,Germany,Software Developer,Desert,Saint Catherine’s Monastery,Archaeological Site,South Sinai,Mild,24 Hours
3,88,3,51,Germany,Software Developer,Desert,Giza Plateau,Archaeological Site,Giza,Hot,10:00-20:00
3,64,3,51,Germany,Software Developer,Desert,Mamoura Bay,Sunken Monuments,Egypt,Mild,24 Hours
3,14,4,51,Germany,Software Developer,Desert,Abu Simbel Temples,Monument,Aswan,Hot,6:00-22:00
3,21,4,51,Germany,Software Developer,Desert,Helwan Corner Museum,Museum,Cairo,Humid,09:00 AM - 05:00 PM
