user_id,age,nationality,Occupation,favorite_type
1,26,Australia,Chef,Nature
2,62,Spain,Writer,Beach
3,51,Germany,Software Developer,Desert
4,58,Russia,Nurse,Beach
5,49,Brazil,Doctor,Historic
6,24,Canada,Lawyer,Museum
7,18,Canada,Writer,Religious
8,65,Brazil,Musician,Museum
9,57,Canada,Designer,Market
10,61,UK,Engineer,Nature
11,60,Italy,Designer,Beach
12,56,Japan,Writer,Monument
13,51,Spain,Engineer,Religious
14,37,Italy,Accountant,Museum
15,67,Russia,Lawyer,Monument
16,57,Japan,Engineer,Beach
17,61,Brazil,Writer,Desert
18,25,Italy,Software Developer,Religious
19,68,Japan,Writer,Nature
20,57,KSA,Teacher,Monument
21,24,Japan,Pilot,Historic
22,43,China,Teacher,Historic
23,40,Italy,Musician,Museum
24,37,USA,Scientist,Market
25,33,Japan,Chef,Nature
26,68,China,Scientist,Nature
27,52,Russia,Student,Monument
28,60,Germany,Teacher,Beach
29,68,KSA,Engineer,Historic
30,18,France,Designer,Market
31,59,Italy,Doctor,Religious
32,28,Russia,Teacher,Desert
33,61,Japan,Lawyer,Market
34,26,Canada,Designer,Nature
35,31,UK,Accountant,Historic
36,33,Italy,Scientist,Religious
37,49,Japan,Musician,Nature
38,59,France,Businessman,Nature
39,68,Russia,Nurse,Desert
40,47,Australia,Pilot,Historic
41,64,Russia,Software Developer,Nature
42,29,Canada,Engineer,Nature
43,50,UK,Teacher,Historic
44,31,Germany,Chef,Market
45,53,Italy,Writer,Market
46,57,Japan,Accountant,Market
47,34,Spain,Artist,Museum
48,38,Spain,Scientist,Nature
49,60,Italy,Scientist,Nature
50,63,Italy,Software Developer,Market
51,43,France,Engineer,Museum
52,21,Brazil,Doctor,Museum
53,39,KSA,Chef,Beach
54,40,Brazil,Musician,Historic
55,21,Germany,Doctor,Historic
56,43,Canada,Engineer,Desert
57,42,Canada,Pilot,Nature
58,70,Spain,Pilot,Monument
59,44,Italy,Businessman,Market
60,35,Spain,Businessman,Desert
61,68,Germany,Businessman,Market
62,26,UK,Accountant,Museum
63,22,Canada,Scientist,Religious
64,33,Japan,Businessman,Desert
65,50,Spain,Lawyer,Nature
66,52,UK,Student,Beach
67,37,Spain,Artist,Beach
68,43,Italy,Teacher,Monument
69,25,Spain,Artist,Market
70,65,Japan,Accountant,Beach
71,64,USA,Chef,Nature
72,45,China,Nurse,Monument
73,31,KSA,Lawyer,Nature
74,28,Brazil,Accountant,Beach
75,24,USA,Chef,Market
76,44,Brazil,Artist,Monument
77,65,Australia,Artist,Desert
78,26,Russia,Writer,Beach
79,18,Canada,Pilot,Monument
