Climate,Operating_Hours,city,place_id,place_name,place_type
Rainy,7:00-15:00,Aswan,32,Qubbat Al-Hawa Cemetery,Archaeological Site
Sunny,8:00-17:00,Aswan,106,Elephantine,Archaeological Site
Mild,8:00-17:00,Aswan,79,Al Kab,Archaeological Site
Sunny,7:00-15:00,Aswan,49,Aswan,Archaeological Site
Mild,8:00-17:00,Al-Minya,63,Al-Bahnasa Tombs,Archaeological Site
Dry,7:00-15:00,Aswan,54,Amada Temples,Archaeological Site
Hot,10:00-20:00,Aswan,95,Temples of Wadi al Sebua,Archaeological Site
Humid,9:00-18:00,Alexandria,31,Abu Mina,Archaeological Site
Hot,24 Hours,Aswan,98,Gebel al-Silsila,Archaeological Site
Dry,9:00-18:00,Giza,83,Dahshur,Archaeological Site
Mild,10:00-20:00,Cairo,25,Mary’s Tree,Archaeological Site
Dry,10:00-20:00,Al-Sharkia,68,Tell Basta,Archaeological Site
Mild,24 Hours,Sohag,91,El Hawawish,Archaeological Site
Sunny,7:00-15:00,Sohag,50,El Sheikh Hamad (Athribis),Archaeological Site
Humid,6:00-22:00,Matrouh,22,Shali village in Siwa Oasis,Archaeological Site
Hot,6:00-22:00,Al-Minya,86,Beni Hasan,Archaeological Site
Windy,8:00-17:00,Cairo,43,Heliopolis,Archaeological Site
Cool,8:00-17:00,Aswan,24,Abu Simbel,Archaeological Site
Sunny,9:00-18:00,Aswan,27,Philae,Archaeological Site
Mild,24 Hours,Luxor,28,Karnak,Archaeological Site
Dry,10:00-20:00,Luxor,53,Valley of the Kings,Archaeological Site
Mild,7:00-15:00,Luxor,26,Deir al-Bahari,Archaeological Site
Hot,10:00-20:00,Giza,88,Giza Plateau,Archaeological Site
Humid,7:00-15:00,Giza,70,Saqqara,Archaeological Site
Mild,24 Hours,Cairo,67,Al-Mu'izz Street,Archaeological Site
Windy,6:00-22:00,Cairo,71,Cairo Citadel,Archaeological Site
Windy,8:00-17:00,Cairo,56,Salah al-Din Square,Archaeological Site
Dry,24 Hours,Cairo,42,Al-Saliba Street,Archaeological Site
Sunny,7:00-15:00,Cairo,52,Al-Saliba Street,Archaeological Site
Humid,10:00-20:00,Cairo,87,Al-Fustat (Old Cairo),Archaeological Site
Humid,7:00-15:00,Alexandria,72,Alexandria,Archaeological Site
Mild,24 Hours,South Sinai,47,Saint Catherine’s Monastery,Archaeological Site
Sunny,6:00-22:00,Cairo,73,Ayn Shams City,Archaeological Site
Mild,8:00-17:00,Egypt,40,khonsu temple,Monument
Rainy,9:00-18:00,Luxor,80,The Ramesseum; The Temple of Ramses II,Monument
Windy,10:00-20:00,Luxor,92,The Temple of Medinet Habu,Monument
Windy,10:00-20:00,Egypt,36,Wikala of Nafisa al-Bayda,Monument
Windy,7:00-15:00,Egypt,77,The Walls of Cairo,Monument
Humid,8:00-17:00,Qena,84,The Architectural Complex of Prince Youssef Kamal,Monument
Mild,8:00-17:00,Cairo,58,Sabil of al-Amir Shaykhu,Monument
Dry,9:00-18:00,Egypt,35,Mosque of al-Fakahani,Monument
Mild,8:00-17:00,Egypt,57,Maq'ad of Mamay al-Sayfi,Monument
Hot,6:00-22:00,Egypt,81,Mosque and Sabil-Kuttab of Shaykh Ali al-Mutahhar,Monument
Cool,10:00-20:00,Egypt,99,The towers Citadel of Salah al-Din Ayyubi,Monument
Cool,24 Hours,Beni Suef,107,The Pyramid of Meidum,Monument
Cool,24 Hours,Cairo,38,Muhammad Ali Palace in shubra,Monument
Cool,24 Hours,Egypt,55,New Kingdom Cemetery in Gebel Al-Silsila,Monument
Humid,24 Hours,Egypt,82,Nile Stelae,Monument
Dry,8:00-17:00,Egypt,90,Royal Stelae,Monument
Windy,24 Hours,Egypt,101,Speos of Horemheb,Monument
Rainy,6:00-22:00,Aswan,23,The Monastery of Anba Simeon in Aswan,Monument
Dry,8:00-17:00,Egypt,105,Mosque of Sulayman Pasha al-Khadim “Saraya al-Jabal mosque”,Monument
Cool,9:00-18:00,Egypt,62,Joseph's Well,Monument
Rainy,24 Hours,Egypt,60,Citadel Prison,Monument
Rainy,6:00-22:00,Cairo,104,Mosque of al-Zahir Baybars,Monument
Humid,6:00-22:00,Egypt,48,Qaitbay Fort,Monument
Humid,7:00-15:00,Aswan,78,Kom Ombo Temple,Monument
Sunny,08:00 AM - 10:00 PM,Matrouh,34,Marsa Matrouh Museum,Museum
Hot,09:00 AM - 05:00 PM,Alexandria,45,Graeco-Roman Museum,Museum
Rainy,09:00 AM - 03:00 PM,Egypt,59,the National Museum of Suez,Museum
Mild,08:00 AM - 04:00 PM,Cairo,37,National Military Museum,Museum
Humid,09:00 AM - 05:00 PM,Cairo,21,Helwan Corner Museum,Museum
Humid,09:00 AM - 05:00 PM,Aswan,39,Nubia Museum,Museum
Mild,07:00 AM - 09:00 PM,Aswan,66,Crocodile Museum,Museum
Dry,08:00 AM - 05:00 PM,Cairo,33,National Police Museum,Museum
Windy,24 Hours,Cairo,75,Cairo International Airport Museum - Terminal 2,Museum
Cool,09:00 AM - 05:00 PM,Cairo,29,The Egyptian Museum,Museum
Windy,09:00 AM - 05:00 PM,Cairo,102,Museum of Islamic Art,Museum
Dry,09:00 AM - 05:00 PM,Cairo,30,The Coptic Museum,Museum
Cool,09:00 AM - 05:00 PM,Cairo,108,National Museum of Egyptian Civilization(NMEC),Museum
Sunny,24 Hours,Cairo,96,Cairo International Airport Museum - Terminal 3,Museum
Sunny,10:00 AM - 01:00 PM,South Sinai,74,Sharm al-Sheikh Museum,Museum
Windy,09:00 AM - 05:00 PM,Cairo,41,The Royal Carriages Museum,Museum
Humid,09:00 AM - 05:00 PM,Kafr El-Sheikh,51,Kafr El-Sheikh Museum,Museum
Sunny,09:00 AM - 05:00 PM,Cairo,97,Gayer Anderson Museum,Museum
Sunny,09:00 AM - 05:00 PM,Cairo,89,Manial Palace Museum,Museum
Hot,09:00 AM - 05:00 PM,Alexandria,69,Royal Jewelry Museum,Museum
Dry,09:00 AM - 02:00 PM,Luxor,94,Mummification Museum,Museum
Dry,10:00 AM - 01:00 PM,Red Sea,61,Hurghada Museum,Museum
Humid,08:00 AM - 05:00 PM,Giza,44,Imhotep Museum,Museum
Humid,8:00-17:00,Egypt,100,Wadi Al  Jarf Port,Sunken Monuments
Humid,8:00-17:00,Egypt,65,Qaitbay Fort site,Sunken Monuments
Sunny,24 Hours,Egypt,93,Shatby,Sunken Monuments
Mild,24 Hours,Egypt,64,Mamoura Bay,Sunken Monuments
Windy,6:00-22:00,Egypt,76,Saadana Island,Sunken Monuments
Dry,24 Hours,Egypt,85,Eastern Harbor,Sunken Monuments
Rainy,6:00-22:00,Egypt,46,Abu Qir Bay,Sunken Monuments
Windy,7:00-15:00,Egypt,103,Aswan,Sunken Monuments
Rainy,10:00-20:00,Luxor,10,Valley of the Kings,Historic
Mild,24 Hours,Giza,1,Giza Pyramids,Monument
Hot,6:00-22:00,Aswan,14,Abu Simbel Temples,Monument
Rainy,7:00-15:00,South Sinai,4,Saint Catherine's Monastery,Religious
Sunny,7:00-15:00,Luxor,6,Karnak Temple,Monument
Windy,24 Hours,Cairo,11,Coptic Cairo,Religious
Sunny,10:00-20:00,Cairo,12,Al-Azhar Park,Nature
Cool,9:00-18:00,South Sinai,5,Dahab,Beach
Sunny,10:00-20:00,Cairo,2,Egyptian Museum,Museum
Windy,7:00-15:00,Alexandria,16,Montaza Palace,Historic
Cool,24 Hours,Aswan,8,Aswan Philae Temple,Historic
Hot,8:00-17:00,Cairo,13,Khan El Khalili,Market
Hot,6:00-22:00,El Alamein,9,El Alamein Military Museum,Museum
Rainy,24 Hours,Hurghada,19,Hurghada Marina,Beach
Hot,24 Hours,Fayoum,17,Fayoum Waterwheels,Nature
Hot,7:00-15:00,Siwa,7,Siwa Oasis,Desert
Hot,7:00-15:00,Alexandria,15,Alexandria Library,Museum
Windy,7:00-15:00,Fayoum,18,Wadi El Rayan,Nature
Windy,10:00-20:00,Hurghada,20,El Gouna,Beach
Sunny,7:00-15:00,Sharm El Sheikh,3,Ras Mohamed National Park,Nature
