user_id,age,nationality,Occupation,favorite_type,rating,place_id,place_name,place_type,city,Climate,Operating_Hours
1,32,KSA,Designer,Religious,3,10,Valley of the Kings,Historic,Luxor,Rainy,10:00-20:00
1,32,KSA,Designer,Religious,4,1,Giza Pyramids,Monument,Giza,Mild,24 Hours
1,32,KSA,Designer,Religious,3,14,Abu Simbel Temples,Monument,Aswan,Hot,6:00-22:00
1,32,KSA,Designer,Religious,5,4,Saint Catherine's Monastery,Religious,South Sinai,Rainy,7:00-15:00
1,32,KSA,Designer,Religious,3,6,Karnak Temple,Monument,Luxor,Sunny,7:00-15:00
1,32,KSA,Designer,Religious,5,11,Coptic Cairo,Religious,Cairo,Windy,24 Hours
1,32,KSA,Designer,Religious,3,12,Al-Azhar Park,Nature,Cairo,Sunny,10:00-20:00
1,32,KSA,Designer,Religious,3,5,Dahab,Beach,South Sinai,Cool,9:00-18:00
1,32,KSA,Designer,Religious,4,2,Egyptian Museum,Museum,Cairo,Sunny,10:00-20:00
1,32,KSA,Designer,Religious,3,16,Montaza Palace,Historic,Alexandria,Windy,7:00-15:00
2,50,Japan,Software Developer,Monument,3,8,Aswan Philae Temple,Historic,Aswan,Cool,24 Hours
2,50,Japan,Software Developer,Monument,3,13,Khan El Khalili,Market,Cairo,Hot,8:00-17:00
2,50,Japan,Software Developer,Monument,5,14,Abu Simbel Temples,Monument,Aswan,Hot,6:00-22:00
2,50,Japan,Software Developer,Monument,5,6,Karnak Temple,Monument,Luxor,Sunny,7:00-15:00
2,50,Japan,Software Developer,Monument,3,12,Al-Azhar Park,Nature,Cairo,Sunny,10:00-20:00
2,50,Japan,Software Developer,Monument,3,9,El Alamein Military Museum,Museum,El Alamein,Hot,6:00-22:00
2,50,Japan,Software Developer,Monument,3,16,Montaza Palace,Historic,Alexandria,Windy,7:00-15:00
2,50,Japan,Software Developer,Monument,3,19,Hurghada Marina,Beach,Hurghada,Rainy,24 Hours
2,50,Japan,Software Developer,Monument,3,11,Coptic Cairo,Religious,Cairo,Windy,24 Hours
2,50,Japan,Software Developer,Monument,3,17,Fayoum Waterwheels,Nature,Fayoum,Hot,24 Hours
3,57,Australia,Scientist,Historic,3,6,Karnak Temple,Monument,Luxor,Sunny,7:00-15:00
3,57,Australia,Scientist,Historic,4,17,Fayoum Waterwheels,Nature,Fayoum,Hot,24 Hours
3,57,Australia,Scientist,Historic,5,8,Aswan Philae Temple,Historic,Aswan,Cool,24 Hours
3,57,Australia,Scientist,Historic,3,1,Giza Pyramids,Monument,Giza,Mild,24 Hours
3,57,Australia,Scientist,Historic,3,7,Siwa Oasis,Desert,Siwa,Hot,7:00-15:00
3,57,Australia,Scientist,Historic,3,9,El Alamein Military Museum,Museum,El Alamein,Hot,6:00-22:00
3,57,Australia,Scientist,Historic,4,14,Abu Simbel Temples,Monument,Aswan,Hot,6:00-22:00
3,57,Australia,Scientist,Historic,2,15,Alexandria Library,Museum,Alexandria,Hot,7:00-15:00
3,57,Australia,Scientist,Historic,3,4,Saint Catherine's Monastery,Religious,South Sinai,Rainy,7:00-15:00
3,57,Australia,Scientist,Historic,5,16,Montaza Palace,Historic,Alexandria,Windy,7:00-15:00
4,65,Brazil,Musician,Museum,3,14,Abu Simbel Temples,Monument,Aswan,Hot,6:00-22:00
4,65,Brazil,Musician,Museum,5,2,Egyptian Museum,Museum,Cairo,Sunny,10:00-20:00
4,65,Brazil,Musician,Museum,3,16,Montaza Palace,Historic,Alexandria,Windy,7:00-15:00
4,65,Brazil,Musician,Museum,3,12,Al-Azhar Park,Nature,Cairo,Sunny,10:00-20:00
4,65,Brazil,Musician,Museum,3,7,Siwa Oasis,Desert,Siwa,Hot,7:00-15:00
4,65,Brazil,Musician,Museum,4,9,El Alamein Military Museum,Museum,El Alamein,Hot,6:00-22:00
4,65,Brazil,Musician,Museum,3,18,Wadi El Rayan,Nature,Fayoum,Windy,7:00-15:00
4,65,Brazil,Musician,Museum,3,8,Aswan Philae Temple,Historic,Aswan,Cool,24 Hours
4,65,Brazil,Musician,Museum,3,6,Karnak Temple,Monument,Luxor,Sunny,7:00-15:00
4,65,Brazil,Musician,Museum,3,20,El Gouna,Beach,Hurghada,Windy,10:00-20:00
5,69,Brazil,Doctor,Beach,3,3,Ras Mohamed National Park,Nature,Sharm El Sheikh,Sunny,7:00-15:00
5,69,Brazil,Doctor,Beach,5,20,El Gouna,Beach,Hurghada,Windy,10:00-20:00
5,69,Brazil,Doctor,Beach,3,1,Giza Pyramids,Monument,Giza,Mild,24 Hours
5,69,Brazil,Doctor,Beach,2,15,Alexandria Library,Museum,Alexandria,Hot,7:00-15:00
5,69,Brazil,Doctor,Beach,3,18,Wadi El Rayan,Nature,Fayoum,Windy,7:00-15:00
5,69,Brazil,Doctor,Beach,3,13,Khan El Khalili,Market,Cairo,Hot,8:00-17:00
5,69,Brazil,Doctor,Beach,3,17,Fayoum Waterwheels,Nature,Fayoum,Hot,24 Hours
5,69,Brazil,Doctor,Beach,5,5,Dahab,Beach,South Sinai,Cool,9:00-18:00
