place_type,place_name,city,Operating_Hours,place_id,Climate
Archaeological Site,Qubbat Al-Hawa Cemetery,Aswan,7:00-15:00,32,Rainy
Archaeological Site,Elephantine,Aswan,8:00-17:00,106,Sunny
Archaeological Site,Al Kab,Aswan,8:00-17:00,79,Mild
Archaeological Site,Aswan,Aswan,7:00-15:00,49,Sunny
Archaeological Site,Al-Bahnasa Tombs,Al-Minya,8:00-17:00,63,Mild
Archaeological Site,Amada Temples,Aswan,7:00-15:00,54,Dry
Archaeological Site,Temples of Wadi al Sebua,Aswan,10:00-20:00,95,Hot
Archaeological Site,Abu Mina,Alexandria,9:00-18:00,31,Humid
Archaeological Site,Gebel al-Silsila,Aswan,24 Hours,98,Hot
Archaeological Site,Dahshur,Giza,9:00-18:00,83,Dry
Archaeological Site,Mary’s Tree,Cairo,10:00-20:00,25,Mild
Archaeological Site,Tell Basta,Al-Sharkia,10:00-20:00,68,Dry
Archaeological Site,El Hawawish,Sohag,24 Hours,91,Mild
Archaeological Site,El Sheikh Hamad (Athribis),Sohag,7:00-15:00,50,Sunny
Archaeological Site,Shali village in Siwa Oasis,Matrouh,6:00-22:00,22,Humid
Archaeological Site,Beni Hasan,Al-Minya,6:00-22:00,86,Hot
Archaeological Site,Heliopolis,Cairo,8:00-17:00,43,Windy
Archaeological Site,Abu Simbel,Aswan,8:00-17:00,24,Cool
Archaeological Site,Philae,Aswan,9:00-18:00,27,Sunny
Archaeological Site,Karnak,Luxor,24 Hours,28,Mild
Archaeological Site,Valley of the Kings,Luxor,10:00-20:00,53,Dry
Archaeological Site,Deir al-Bahari,Luxor,7:00-15:00,26,Mild
Archaeological Site,Giza Plateau,Giza,10:00-20:00,88,Hot
Archaeological Site,Saqqara,Giza,7:00-15:00,70,Humid
Archaeological Site,Al-Mu'izz Street,Cairo,24 Hours,67,Mild
Archaeological Site,Cairo Citadel,Cairo,6:00-22:00,71,Windy
Archaeological Site,Salah al-Din Square,Cairo,8:00-17:00,56,Windy
Archaeological Site,Al-Saliba Street,Cairo,24 Hours,42,Dry
Archaeological Site,Al-Saliba Street,Cairo,7:00-15:00,52,Sunny
